run_id,season,population,model_key,districts,n,overall_accuracy,kappa,macro_f1,aggregation,uncertainty_method,source_files,vegetation_f1,vegetation_precision,vegetation_recall,water_f1,water_precision,water_recall,built_area_f1,built_area_precision,built_area_recall,open_land_f1,open_land_precision,open_land_recall,agriculture_f1,agriculture_precision,agriculture_recall
v7-summer-development-after-gtb,summer,development,after-gtb,15,1418,0.752468,0.688192,0.739489,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.706553,0.932331,0.568807,0.921659,0.854701,1.0,0.842105,0.734491,0.986667,0.622144,0.657993,0.59,0.604982,0.648855,0.566667
v7-summer-development-after-gtb-b19,summer,development,after-gtb-b19,15,1418,0.702398,0.62456,0.681342,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.621118,0.961538,0.458716,0.911854,0.837989,1.0,0.834734,0.719807,0.993333,0.493256,0.584475,0.426667,0.545746,0.526316,0.566667
v7-summer-development-after-gtb-b22,summer,development,after-gtb-b22,15,1418,0.716502,0.642206,0.694088,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.585987,0.958333,0.422018,0.920245,0.852273,1.0,0.839437,0.726829,0.993333,0.568306,0.626506,0.52,0.556465,0.546624,0.566667
v7-summer-development-after-gtb-b27,summer,development,after-gtb-b27,15,1418,0.739774,0.671999,0.724676,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.684366,0.958678,0.53211,0.921659,0.854701,1.0,0.834734,0.719807,0.993333,0.576147,0.640816,0.523333,0.606474,0.620209,0.593333
v7-summer-development-after-knn,summer,development,after-knn,15,1418,0.718618,0.645569,0.700847,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.642045,0.843284,0.518349,0.944882,0.895522,1.0,0.816044,0.6974,0.983333,0.605852,0.626335,0.586667,0.495413,0.55102,0.45
v7-summer-development-after-rf,summer,development,after-rf,15,1418,0.746827,0.680937,0.729169,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.649123,0.895161,0.509174,0.902256,0.821918,1.0,0.855051,0.762402,0.973333,0.653333,0.653333,0.653333,0.586081,0.650407,0.533333
v7-summer-development-after-svm,summer,development,after-svm,15,1418,0.708039,0.631431,0.67844,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.491909,0.835165,0.348624,0.928793,0.867052,1.0,0.84375,0.735149,0.99,0.626087,0.654545,0.6,0.501661,0.5,0.503333
v7-summer-test-after-cart,summer,test,after-cart,29,2692,0.613299,0.509096,0.55073,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.335404,0.72973,0.217742,0.853569,0.744544,1.0,0.727617,0.573559,0.994828,0.495127,0.569507,0.437931,0.341935,0.454286,0.274138
v7-summer-test-after-gtb,summer,test,after-gtb,29,2692,0.738484,0.668847,0.71452,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.594203,0.911111,0.44086,0.919176,0.85044,1.0,0.854167,0.751309,0.989655,0.63312,0.674464,0.596552,0.571933,0.585895,0.558621
v7-summer-test-after-gtb-b19,summer,test,after-gtb-b19,29,2692,0.689822,0.606612,0.655787,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.491159,0.912409,0.336022,0.910518,0.835735,1.0,0.848083,0.740979,0.991379,0.521739,0.593407,0.465517,0.507438,0.487302,0.52931
v7-summer-test-after-gtb-b22,summer,test,after-gtb-b22,29,2692,0.707652,0.62932,0.675951,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.511628,0.916667,0.354839,0.919905,0.851689,1.0,0.848083,0.740979,0.991379,0.573284,0.620482,0.532759,0.526854,0.521079,0.532759
v7-summer-test-after-gtb-b27,summer,test,after-gtb-b27,29,2692,0.719911,0.645302,0.695889,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.596364,0.921348,0.44086,0.916272,0.845481,1.0,0.850185,0.743226,0.993103,0.55534,0.635556,0.493103,0.561285,0.55058,0.572414
v7-summer-test-after-knn,summer,test,after-knn,29,2692,0.696508,0.615819,0.668401,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.509804,0.756614,0.384409,0.957886,0.919176,1.0,0.822581,0.715561,0.967241,0.600178,0.620626,0.581034,0.451556,0.466055,0.437931
v7-summer-test-after-rf,summer,test,after-rf,29,2692,0.718425,0.643135,0.684882,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.515152,0.871795,0.365591,0.895753,0.811189,1.0,0.850075,0.751989,0.977586,0.642674,0.638842,0.646552,0.520755,0.575,0.475862
v7-summer-test-after-svm,summer,test,after-svm,29,2692,0.686107,0.601683,0.642881,pooled counts over districts,"percentile bootstrap, 5000 replicates, districts resampled",mp_external_shards_v7_worker_*.json,0.376518,0.762295,0.25,0.955519,0.914826,1.0,0.835165,0.726115,0.982759,0.589474,0.6,0.57931,0.457728,0.453469,0.462069
