season,district,role,consensus_class,eligible_area_km2,sample_n,sampled,exclusion_reason,weight_scale_m
summer,Harda,development,Built Area,11.3538,20,yes,,10
summer,Harda,development,Open Land,0.6085,20,yes,,10
summer,Harda,development,Vegetation,0.0004,4,yes,,10
summer,Harda,development,Water,9.5444,20,yes,,10
summer,Hoshangabad,development,Agriculture,3529.3486,20,yes,,10
summer,Hoshangabad,development,Built Area,20.2747,20,yes,,10
summer,Hoshangabad,development,Open Land,24.3732,20,yes,,10
summer,Hoshangabad,development,Vegetation,20.2659,20,yes,,10
summer,Hoshangabad,development,Water,87.6674,20,yes,,10
summer,Indore,test,Agriculture,2684.5069,20,yes,,10
summer,Indore,test,Built Area,59.7554,20,yes,,10
summer,Indore,test,Open Land,3.3065,20,yes,,10
summer,Indore,test,Vegetation,0.0146,20,yes,,10
summer,Indore,test,Water,1.0046,20,yes,,10
summer,Jabalpur,training-withheld,Agriculture,2254.7312,19,yes,,10
summer,Jabalpur,training-withheld,Built Area,28.9093,18,yes,,10
summer,Jabalpur,training-withheld,Open Land,1.9193,16,yes,,10
summer,Jabalpur,training-withheld,Vegetation,0.0419,14,yes,,10
summer,Jabalpur,training-withheld,Water,53.1426,19,yes,,10
summer,Jhabua,development,Agriculture,3186.4786,20,yes,,10
summer,Jhabua,development,Built Area,3.9523,20,yes,,10
summer,Jhabua,development,Open Land,6.0246,20,yes,,10
summer,Jhabua,development,Vegetation,0.008,20,yes,,10
summer,Jhabua,development,Water,28.579,20,yes,,10
summer,Katni,training-withheld,Agriculture,3409.4713,20,yes,,10
summer,Katni,training-withheld,Built Area,8.1119,18,yes,,10
summer,Katni,training-withheld,Open Land,15.3449,20,yes,,10
summer,Katni,training-withheld,Vegetation,1.1064,20,yes,,10
summer,Katni,training-withheld,Water,40.3387,20,yes,,10
summer,Mandla,training-withheld,Agriculture,2315.1971,20,yes,,10
summer,Mandla,training-withheld,Built Area,4.2074,20,yes,,10
summer,Mandla,training-withheld,Open Land,4.4805,20,yes,,10
summer,Mandla,training-withheld,Vegetation,37.1688,20,yes,,10
summer,Mandla,training-withheld,Water,74.6243,20,yes,,10
summer,Mandsaur,development,Agriculture,3663.9249,20,yes,,10
summer,Mandsaur,development,Built Area,26.8526,20,yes,,10
summer,Mandsaur,development,Open Land,15.1323,20,yes,,10
summer,Mandsaur,development,Vegetation,0.0237,20,yes,,10
summer,Mandsaur,development,Water,297.1225,20,yes,,10
summer,Morena,test,Agriculture,2837.6568,20,yes,,10
summer,Morena,test,Built Area,7.6955,20,yes,,10
summer,Morena,test,Open Land,49.6914,20,yes,,10
summer,Morena,test,Vegetation,0.0,0,no,no consensus pixel of this class cleared the 20-point quota,10
summer,Morena,test,Water,7.6683,20,yes,,10
summer,Narsinghpur,test,Agriculture,2990.756,20,yes,,10
summer,Narsinghpur,test,Built Area,13.7429,20,yes,,10
summer,Narsinghpur,test,Open Land,7.9287,20,yes,,10
