season,district,role,consensus_class,eligible_area_km2,sample_n,sampled,exclusion_reason,weight_scale_m
winter,Ujjain,test,Water,10.8879,20,yes,,10
winter,Umaria,test,Agriculture,1181.8873,20,yes,,10
winter,Umaria,test,Built Area,0.362,20,yes,,10
winter,Umaria,test,Open Land,1.4048,20,yes,,10
winter,Umaria,test,Vegetation,170.0062,20,yes,,10
winter,Umaria,test,Water,59.2852,20,yes,,10
winter,Vidisha,test,Agriculture,5957.4234,20,yes,,10
winter,Vidisha,test,Built Area,2.5263,20,yes,,10
winter,Vidisha,test,Open Land,0.797,20,yes,,10
winter,Vidisha,test,Vegetation,2.6649,20,yes,,10
winter,Vidisha,test,Water,23.6095,20,yes,,10
winter,West Nimar,development,Agriculture,4739.2785,20,yes,,10
winter,West Nimar,development,Built Area,11.2563,20,yes,,10
winter,West Nimar,development,Open Land,2.8551,20,yes,,10
winter,West Nimar,development,Vegetation,3.2703,20,yes,,10
winter,West Nimar,development,Water,61.2832,20,yes,,10
