season,district,role,model_key,stored_n,rerun_n,stored_overall_accuracy,rerun_overall_accuracy,matrix_redistribution,identical
summer,Chhindwara,test,after-svm,100,100,0.59,0.59,0,True
summer,Damoh,development,after-cart,80,80,0.7625,0.7625,0,True
summer,Damoh,development,after-gtb,80,80,0.7375,0.7375,0,True
summer,Damoh,development,after-gtb-b19,80,80,0.6875,0.6875,0,True
summer,Damoh,development,after-gtb-b22,80,80,0.7,0.7,0,True
summer,Damoh,development,after-gtb-b27,80,80,0.7375,0.7375,0,True
summer,Damoh,development,after-knn,80,80,0.7125,0.7125,0,True
summer,Damoh,development,after-rf,80,80,0.7625,0.7625,0,True
summer,Damoh,development,after-svm,80,80,0.775,0.775,0,True
summer,Datia,test,after-cart,100,100,0.64,0.64,0,True
summer,Datia,test,after-gtb,100,100,0.81,0.81,0,True
summer,Datia,test,after-gtb-b19,100,100,0.72,0.73,3,False
summer,Datia,test,after-gtb-b22,100,100,0.79,0.79,0,True
summer,Datia,test,after-gtb-b27,100,100,0.79,0.79,0,True
summer,Datia,test,after-knn,100,100,0.6,0.6,0,True
summer,Datia,test,after-rf,100,100,0.74,0.74,0,True
summer,Datia,test,after-svm,100,100,0.63,0.63,0,True
summer,Dewas,test,after-cart,80,80,0.725,0.725,0,True
summer,Dewas,test,after-gtb,80,80,0.8,0.8,0,True
summer,Dewas,test,after-gtb-b19,80,80,0.7875,0.775,1,False
summer,Dewas,test,after-gtb-b22,80,80,0.7625,0.7625,0,True
summer,Dewas,test,after-gtb-b27,80,80,0.7875,0.7875,0,True
summer,Dewas,test,after-knn,80,80,0.775,0.775,0,True
summer,Dewas,test,after-rf,80,80,0.8,0.8,0,True
summer,Dewas,test,after-svm,80,80,0.7375,0.7375,0,True
summer,Dhar,test,after-cart,100,100,0.52,0.52,0,True
summer,Dhar,test,after-gtb,100,100,0.7,0.7,0,True
summer,Dhar,test,after-gtb-b19,100,100,0.69,0.7,1,False
summer,Dhar,test,after-gtb-b22,100,100,0.71,0.71,0,True
summer,Dhar,test,after-gtb-b27,100,100,0.74,0.74,0,True
summer,Dhar,test,after-knn,100,100,0.65,0.65,0,True
summer,Dhar,test,after-rf,100,100,0.71,0.71,0,True
summer,Dhar,test,after-svm,100,100,0.64,0.64,0,True
summer,Dindori,training-withheld,after-cart,100,100,0.49,0.49,0,True
summer,Dindori,training-withheld,after-gtb,100,100,0.59,0.59,0,True
summer,Dindori,training-withheld,after-gtb-b19,100,100,0.55,0.56,5,False
summer,Dindori,training-withheld,after-gtb-b22,100,100,0.55,0.55,0,True
summer,Dindori,training-withheld,after-gtb-b27,100,100,0.59,0.59,0,True
summer,Dindori,training-withheld,after-knn,100,100,0.56,0.56,0,True
summer,Dindori,training-withheld,after-rf,100,100,0.56,0.56,0,True
summer,Dindori,training-withheld,after-svm,100,100,0.57,0.57,0,True
summer,East Nimar,test,after-cart,80,80,0.725,0.725,0,True
summer,East Nimar,test,after-gtb,80,80,0.8,0.8,0,True
summer,East Nimar,test,after-gtb-b19,80,80,0.7625,0.775,1,False
summer,East Nimar,test,after-gtb-b22,80,80,0.775,0.775,0,True
summer,East Nimar,test,after-gtb-b27,80,80,0.7625,0.7625,0,True
summer,East Nimar,test,after-knn,80,80,0.8,0.8,0,True
summer,East Nimar,test,after-rf,80,80,0.85,0.85,0,True
summer,East Nimar,test,after-svm,80,80,0.825,0.825,0,True
summer,Guna,test,after-cart,100,100,0.5,0.5,0,True
summer,Guna,test,after-gtb,100,100,0.63,0.63,0,True
summer,Guna,test,after-gtb-b19,100,100,0.61,0.6,1,False
summer,Guna,test,after-gtb-b22,100,100,0.63,0.63,0,True
summer,Guna,test,after-gtb-b27,100,100,0.64,0.64,0,True
summer,Guna,test,after-knn,100,100,0.62,0.62,0,True
summer,Guna,test,after-rf,100,100,0.64,0.64,0,True
summer,Guna,test,after-svm,100,100,0.62,0.62,0,True
summer,Gwalior,test,after-cart,80,80,0.6,0.6,0,True
summer,Gwalior,test,after-gtb,80,80,0.7625,0.7625,0,True
summer,Gwalior,test,after-gtb-b19,80,80,0.725,0.7375,1,False
summer,Gwalior,test,after-gtb-b22,80,80,0.725,0.725,0,True
summer,Gwalior,test,after-gtb-b27,80,80,0.75,0.75,0,True
summer,Gwalior,test,after-knn,80,80,0.7125,0.7125,0,True
summer,Gwalior,test,after-rf,80,80,0.7625,0.7625,0,True
summer,Gwalior,test,after-svm,80,80,0.725,0.725,0,True
summer,Harda,development,after-cart,84,84,0.666667,0.666667,0,True
summer,Harda,development,after-gtb,84,84,0.797619,0.797619,0,True
summer,Harda,development,after-gtb-b19,84,84,0.761905,0.77381,2,False
summer,Harda,development,after-gtb-b22,84,84,0.785714,0.785714,0,True
summer,Harda,development,after-gtb-b27,84,84,0.797619,0.797619,0,True
summer,Harda,development,after-knn,84,84,0.77381,0.77381,0,True
summer,Harda,development,after-rf,84,84,0.833333,0.833333,0,True
summer,Harda,development,after-svm,84,84,0.785714,0.785714,0,True
summer,Hoshangabad,development,after-cart,100,100,0.66,0.66,0,True
summer,Hoshangabad,development,after-gtb,100,100,0.77,0.77,0,True
summer,Hoshangabad,development,after-gtb-b19,100,100,0.66,0.69,8,False
summer,Hoshangabad,development,after-gtb-b22,100,100,0.73,0.73,0,True
summer,Hoshangabad,development,after-gtb-b27,100,100,0.74,0.74,0,True
summer,Hoshangabad,development,after-knn,100,100,0.75,0.75,0,True
summer,Hoshangabad,development,after-rf,100,100,0.74,0.74,0,True
summer,Hoshangabad,development,after-svm,100,100,0.74,0.74,0,True
summer,Indore,test,after-cart,100,100,0.55,0.55,0,True
summer,Indore,test,after-gtb,100,100,0.83,0.83,0,True
summer,Indore,test,after-gtb-b19,100,100,0.79,0.79,2,False
summer,Indore,test,after-gtb-b22,100,100,0.81,0.81,0,True
summer,Indore,test,after-gtb-b27,100,100,0.82,0.82,0,True
summer,Indore,test,after-knn,100,100,0.82,0.82,0,True
summer,Indore,test,after-rf,100,100,0.85,0.85,0,True
summer,Indore,test,after-svm,100,100,0.67,0.67,0,True
summer,Jabalpur,training-withheld,after-cart,86,86,0.616279,0.616279,0,True
summer,Jabalpur,training-withheld,after-gtb,86,86,0.77907,0.77907,0,True
summer,Jabalpur,training-withheld,after-gtb-b19,86,86,0.77907,0.77907,1,False
summer,Jabalpur,training-withheld,after-gtb-b22,86,86,0.77907,0.77907,0,True
summer,Jabalpur,training-withheld,after-gtb-b27,86,86,0.790698,0.790698,0,True
summer,Jabalpur,training-withheld,after-knn,86,86,0.755814,0.755814,0,True
summer,Jabalpur,training-withheld,after-rf,86,86,0.77907,0.77907,0,True
summer,Jabalpur,training-withheld,after-svm,86,86,0.755814,0.755814,0,True
summer,Jhabua,development,after-cart,100,100,0.47,0.47,0,True
summer,Jhabua,development,after-gtb,100,100,0.65,0.65,0,True
summer,Jhabua,development,after-gtb-b19,100,100,0.58,0.6,3,False
summer,Jhabua,development,after-gtb-b22,100,100,0.64,0.64,0,True
summer,Jhabua,development,after-gtb-b27,100,100,0.63,0.63,0,True
summer,Jhabua,development,after-knn,100,100,0.63,0.63,0,True
summer,Jhabua,development,after-rf,100,100,0.61,0.61,0,True
summer,Jhabua,development,after-svm,100,100,0.61,0.61,0,True
summer,Katni,training-withheld,after-cart,98,98,0.581633,0.581633,0,True
summer,Katni,training-withheld,after-gtb,98,98,0.785714,0.785714,0,True
summer,Katni,training-withheld,after-gtb-b19,98,98,0.653061,0.683673,5,False
summer,Katni,training-withheld,after-gtb-b22,98,98,0.765306,0.765306,0,True
summer,Katni,training-withheld,after-gtb-b27,98,98,0.765306,0.765306,0,True
summer,Katni,training-withheld,after-knn,98,98,0.755102,0.755102,0,True
summer,Katni,training-withheld,after-rf,98,98,0.734694,0.734694,0,True
summer,Katni,training-withheld,after-svm,98,98,0.734694,0.734694,0,True
summer,Mandla,training-withheld,after-cart,100,100,0.49,0.49,0,True
summer,Mandla,training-withheld,after-gtb,100,100,0.62,0.62,0,True
summer,Mandla,training-withheld,after-gtb-b19,100,100,0.59,0.6,2,False
summer,Mandla,training-withheld,after-gtb-b22,100,100,0.6,0.6,0,True
summer,Mandla,training-withheld,after-gtb-b27,100,100,0.6,0.6,0,True
summer,Mandla,training-withheld,after-knn,100,100,0.56,0.56,0,True
summer,Mandla,training-withheld,after-rf,100,100,0.59,0.59,0,True
summer,Mandla,training-withheld,after-svm,100,100,0.6,0.6,0,True
summer,Mandsaur,development,after-cart,100,100,0.63,0.63,0,True
summer,Mandsaur,development,after-gtb,100,100,0.88,0.88,0,True
summer,Mandsaur,development,after-gtb-b19,100,100,0.78,0.77,3,False
summer,Mandsaur,development,after-gtb-b22,100,100,0.82,0.82,0,True
summer,Mandsaur,development,after-gtb-b27,100,100,0.86,0.86,0,True
summer,Mandsaur,development,after-knn,100,100,0.79,0.79,0,True
summer,Mandsaur,development,after-rf,100,100,0.92,0.92,0,True
summer,Mandsaur,development,after-svm,100,100,0.77,0.77,0,True
summer,Morena,test,after-cart,80,80,0.725,0.725,0,True
summer,Morena,test,after-gtb,80,80,0.875,0.875,0,True
summer,Morena,test,after-gtb-b19,80,80,0.7125,0.7625,8,False
summer,Morena,test,after-gtb-b22,80,80,0.7625,0.7625,0,True
summer,Morena,test,after-gtb-b27,80,80,0.7375,0.7375,0,True
summer,Morena,test,after-knn,80,80,0.7625,0.7625,0,True
summer,Morena,test,after-rf,80,80,0.725,0.725,0,True
summer,Morena,test,after-svm,80,80,0.7625,0.7625,0,True
summer,Narsinghpur,test,after-cart,100,100,0.69,0.69,0,True
summer,Narsinghpur,test,after-gtb,100,100,0.76,0.76,0,True
summer,Narsinghpur,test,after-gtb-b19,100,100,0.72,0.71,3,False
summer,Narsinghpur,test,after-gtb-b22,100,100,0.72,0.72,0,True
summer,Narsinghpur,test,after-gtb-b27,100,100,0.75,0.75,0,True
summer,Narsinghpur,test,after-knn,100,100,0.83,0.83,0,True
summer,Narsinghpur,test,after-rf,100,100,0.79,0.79,0,True
summer,Narsinghpur,test,after-svm,100,100,0.75,0.75,0,True
summer,Neemuch,development,after-cart,80,80,0.5875,0.5875,0,True
summer,Neemuch,development,after-gtb,80,80,0.7125,0.7125,0,True
summer,Neemuch,development,after-gtb-b19,80,80,0.7,0.725,2,False
summer,Neemuch,development,after-gtb-b22,80,80,0.7125,0.7125,0,True
summer,Neemuch,development,after-gtb-b27,80,80,0.725,0.725,0,True
summer,Neemuch,development,after-knn,80,80,0.6375,0.6375,0,True
summer,Neemuch,development,after-rf,80,80,0.7,0.7,0,True
summer,Neemuch,development,after-svm,80,80,0.6625,0.6625,0,True
summer,Panna,test,after-cart,83,83,0.614458,0.614458,0,True
summer,Panna,test,after-gtb,83,83,0.746988,0.746988,0,True
summer,Panna,test,after-gtb-b19,83,83,0.710843,0.722892,1,False
summer,Panna,test,after-gtb-b22,83,83,0.722892,0.722892,0,True
summer,Panna,test,after-gtb-b27,83,83,0.759036,0.759036,0,True
summer,Panna,test,after-knn,83,83,0.710843,0.710843,0,True
summer,Panna,test,after-rf,83,83,0.73494,0.73494,0,True
summer,Panna,test,after-svm,83,83,0.722892,0.722892,0,True
summer,Raisen,test,after-cart,94,94,0.712766,0.712766,0,True
summer,Raisen,test,after-gtb,94,94,0.87234,0.87234,0,True
summer,Raisen,test,after-gtb-b19,94,94,0.723404,0.765957,6,False
summer,Raisen,test,after-gtb-b22,94,94,0.776596,0.776596,0,True
summer,Raisen,test,after-gtb-b27,94,94,0.819149,0.819149,0,True
summer,Raisen,test,after-knn,94,94,0.819149,0.819149,0,True
summer,Raisen,test,after-rf,94,94,0.840426,0.840426,0,True
summer,Raisen,test,after-svm,94,94,0.829787,0.829787,0,True
summer,Rajgarh,development,after-cart,100,100,0.67,0.67,0,True
summer,Rajgarh,development,after-gtb,100,100,0.81,0.81,0,True
summer,Rajgarh,development,after-gtb-b19,100,100,0.78,0.78,2,False
summer,Rajgarh,development,after-gtb-b22,100,100,0.76,0.76,0,True
summer,Rajgarh,development,after-gtb-b27,100,100,0.81,0.81,0,True
summer,Rajgarh,development,after-knn,100,100,0.75,0.75,0,True
summer,Rajgarh,development,after-rf,100,100,0.82,0.82,0,True
summer,Rajgarh,development,after-svm,100,100,0.69,0.69,0,True
summer,Ratlam,test,after-cart,80,80,0.7,0.7,0,True
summer,Ratlam,test,after-gtb,80,80,0.725,0.7375,2,False
summer,Ratlam,test,after-gtb-b19,80,80,0.7125,0.7125,0,True
summer,Ratlam,test,after-gtb-b22,80,80,0.725,0.725,1,False
summer,Ratlam,test,after-gtb-b27,80,80,0.725,0.725,0,True
summer,Ratlam,test,after-knn,80,80,0.7625,0.7625,0,True
summer,Ratlam,test,after-rf,80,80,0.7375,0.7375,0,True
summer,Ratlam,test,after-svm,80,80,0.75,0.75,0,True
summer,Rewa,development,after-cart,100,100,0.52,0.52,0,True
summer,Rewa,development,after-gtb,100,100,0.66,0.67,2,False
summer,Rewa,development,after-gtb-b19,100,100,0.62,0.61,2,False
summer,Rewa,development,after-gtb-b22,100,100,0.64,0.6,4,False
summer,Rewa,development,after-gtb-b27,100,100,0.66,0.67,5,False
summer,Rewa,development,after-knn,100,100,0.68,0.68,0,True
summer,Rewa,development,after-rf,100,100,0.61,0.61,0,True
summer,Rewa,development,after-svm,100,100,0.63,0.63,0,True
summer,Sagar,test,after-cart,100,100,0.65,0.65,0,True
summer,Sagar,test,after-gtb,100,100,0.71,0.72,3,False
summer,Sagar,test,after-gtb-b19,100,100,0.7,0.69,1,False
summer,Sagar,test,after-gtb-b22,100,100,0.72,0.72,0,True
summer,Sagar,test,after-gtb-b27,100,100,0.71,0.71,2,False
summer,Sagar,test,after-knn,100,100,0.78,0.78,0,True
summer,Sagar,test,after-rf,100,100,0.71,0.71,0,True
summer,Sagar,test,after-svm,100,100,0.75,0.75,0,True
summer,Satna,test,after-cart,100,100,0.65,0.65,0,True
summer,Satna,test,after-gtb,100,100,0.67,0.73,6,False
summer,Satna,test,after-gtb-b19,100,100,0.68,0.69,2,False
summer,Satna,test,after-gtb-b22,100,100,0.64,0.68,5,False
summer,Satna,test,after-gtb-b27,100,100,0.69,0.7,5,False
summer,Satna,test,after-knn,100,100,0.66,0.66,0,True
summer,Satna,test,after-rf,100,100,0.71,0.71,0,True
summer,Satna,test,after-svm,100,100,0.67,0.67,0,True
summer,Sehore,development,after-cart,100,100,0.65,0.65,0,True
summer,Sehore,development,after-gtb,100,100,0.85,0.86,1,False
summer,Sehore,development,after-gtb-b19,100,100,0.79,0.8,4,False
summer,Sehore,development,after-gtb-b22,100,100,0.79,0.79,2,False
summer,Sehore,development,after-gtb-b27,100,100,0.82,0.83,3,False
summer,Sehore,development,after-knn,100,100,0.84,0.84,0,True
summer,Sehore,development,after-rf,100,100,0.87,0.87,0,True
summer,Sehore,development,after-svm,100,100,0.8,0.8,0,True
summer,Seoni,test,after-cart,100,100,0.63,0.63,0,True
summer,Seoni,test,after-gtb,100,100,0.78,0.75,3,False
summer,Seoni,test,after-gtb-b19,100,100,0.74,0.71,4,False
summer,Seoni,test,after-gtb-b22,100,100,0.74,0.76,3,False
summer,Seoni,test,after-gtb-b27,100,100,0.79,0.77,3,False
summer,Seoni,test,after-knn,100,100,0.72,0.72,0,True
summer,Seoni,test,after-rf,100,100,0.72,0.72,0,True
summer,Seoni,test,after-svm,100,100,0.76,0.76,0,True
summer,Shahdol,test,after-cart,100,100,0.49,0.49,0,True
summer,Shahdol,test,after-gtb,100,100,0.55,0.55,1,False
