season,district,role,model_key,stored_n,rerun_n,stored_overall_accuracy,rerun_overall_accuracy,matrix_redistribution,identical
winter,Balaghat,test,after-gtb-b19,100,100,0.8,0.8,0,True
winter,Balaghat,test,after-gtb-b22,100,100,0.79,0.79,0,True
winter,Balaghat,test,after-gtb-b27,100,100,0.79,0.78,1,False
winter,Balaghat,test,after-knn,100,100,0.79,0.79,0,True
winter,Balaghat,test,after-rf,100,100,0.79,0.79,0,True
winter,Balaghat,test,after-svm,100,100,0.82,0.82,0,True
winter,Barwani,development,after-cart,100,100,0.7,0.7,0,True
winter,Barwani,development,after-gtb,100,100,0.82,0.82,0,True
winter,Barwani,development,after-gtb-b19,100,100,0.81,0.81,0,True
winter,Barwani,development,after-gtb-b22,100,100,0.81,0.81,0,True
winter,Barwani,development,after-gtb-b27,100,100,0.85,0.84,2,False
winter,Barwani,development,after-knn,100,100,0.77,0.77,0,True
winter,Barwani,development,after-rf,100,100,0.8,0.8,0,True
winter,Barwani,development,after-svm,100,100,0.82,0.82,0,True
winter,Betul,test,after-cart,100,100,0.82,0.82,0,True
winter,Betul,test,after-gtb,100,100,0.83,0.81,2,False
winter,Betul,test,after-gtb-b19,100,100,0.82,0.82,0,True
winter,Betul,test,after-gtb-b22,100,100,0.81,0.81,0,True
winter,Betul,test,after-gtb-b27,100,100,0.79,0.78,1,False
winter,Betul,test,after-knn,100,100,0.82,0.82,0,True
winter,Betul,test,after-rf,100,100,0.8,0.8,0,True
winter,Betul,test,after-svm,100,100,0.85,0.85,0,True
winter,Bhind,test,after-cart,100,100,0.89,0.89,0,True
winter,Bhind,test,after-gtb,100,100,0.95,0.94,1,False
winter,Bhind,test,after-gtb-b19,100,100,0.96,0.96,0,True
winter,Bhind,test,after-gtb-b22,100,100,0.94,0.94,0,True
winter,Bhind,test,after-gtb-b27,100,100,0.96,0.96,0,True
winter,Bhind,test,after-knn,100,100,0.95,0.95,0,True
winter,Bhind,test,after-rf,100,100,0.95,0.95,0,True
winter,Bhind,test,after-svm,100,100,0.96,0.96,0,True
winter,Bhopal,test,after-cart,100,100,0.82,0.82,0,True
winter,Bhopal,test,after-gtb,100,100,0.88,0.86,2,False
winter,Bhopal,test,after-gtb-b19,100,100,0.83,0.83,0,True
winter,Bhopal,test,after-gtb-b22,100,100,0.87,0.87,0,True
winter,Bhopal,test,after-gtb-b27,100,100,0.85,0.83,2,False
winter,Bhopal,test,after-knn,100,100,0.86,0.86,0,True
winter,Bhopal,test,after-rf,100,100,0.9,0.9,0,True
winter,Bhopal,test,after-svm,100,100,0.84,0.84,0,True
winter,Burhanpur,test,after-cart,100,100,0.84,0.84,0,True
winter,Burhanpur,test,after-gtb,100,100,0.86,0.87,1,False
winter,Burhanpur,test,after-gtb-b19,100,100,0.83,0.83,0,True
winter,Burhanpur,test,after-gtb-b22,100,100,0.87,0.87,0,True
winter,Burhanpur,test,after-gtb-b27,100,100,0.86,0.88,4,False
winter,Burhanpur,test,after-knn,100,100,0.83,0.83,0,True
winter,Burhanpur,test,after-rf,100,100,0.88,0.88,0,True
winter,Burhanpur,test,after-svm,100,100,0.86,0.86,0,True
winter,Chhatarpur,test,after-cart,100,100,0.74,0.74,0,True
winter,Chhatarpur,test,after-gtb,100,100,0.86,0.85,1,False
winter,Chhatarpur,test,after-gtb-b19,100,100,0.85,0.85,0,True
winter,Chhatarpur,test,after-gtb-b22,100,100,0.83,0.83,0,True
winter,Chhatarpur,test,after-gtb-b27,100,100,0.82,0.82,2,False
winter,Chhatarpur,test,after-knn,100,100,0.81,0.81,0,True
winter,Chhatarpur,test,after-rf,100,100,0.89,0.89,0,True
winter,Chhatarpur,test,after-svm,100,100,0.81,0.81,0,True
winter,Chhindwara,test,after-cart,100,100,0.78,0.78,0,True
winter,Chhindwara,test,after-gtb,100,100,0.82,0.84,2,False
winter,Chhindwara,test,after-gtb-b19,100,100,0.83,0.83,0,True
winter,Chhindwara,test,after-gtb-b22,100,100,0.83,0.83,0,True
winter,Chhindwara,test,after-gtb-b27,100,100,0.83,0.83,0,True
winter,Chhindwara,test,after-knn,100,100,0.81,0.81,0,True
winter,Chhindwara,test,after-rf,100,100,0.82,0.82,0,True
winter,Chhindwara,test,after-svm,100,100,0.83,0.83,0,True
winter,Damoh,development,after-cart,100,100,0.83,0.83,0,True
winter,Damoh,development,after-gtb,100,100,0.85,0.87,2,False
winter,Damoh,development,after-gtb-b19,100,100,0.85,0.85,0,True
winter,Damoh,development,after-gtb-b22,100,100,0.87,0.87,0,True
winter,Damoh,development,after-gtb-b27,100,100,0.85,0.85,2,False
winter,Damoh,development,after-knn,100,100,0.85,0.85,0,True
winter,Damoh,development,after-rf,100,100,0.87,0.87,0,True
winter,Damoh,development,after-svm,100,100,0.89,0.89,0,True
winter,Datia,test,after-cart,100,100,0.92,0.92,0,True
winter,Datia,test,after-gtb,100,100,0.96,0.96,0,True
winter,Datia,test,after-gtb-b19,100,100,0.92,0.92,0,True
winter,Datia,test,after-gtb-b22,100,100,0.93,0.93,0,True
winter,Datia,test,after-gtb-b27,100,100,0.94,0.93,1,False
winter,Datia,test,after-knn,100,100,0.95,0.95,0,True
winter,Datia,test,after-rf,100,100,0.95,0.95,0,True
winter,Datia,test,after-svm,100,100,0.97,0.97,0,True
winter,Dewas,test,after-cart,100,100,0.78,0.78,0,True
winter,Dewas,test,after-gtb,100,100,0.87,0.86,1,False
winter,Dewas,test,after-gtb-b19,100,100,0.83,0.83,0,True
winter,Dewas,test,after-gtb-b22,100,100,0.84,0.84,0,True
winter,Dewas,test,after-gtb-b27,100,100,0.82,0.82,1,False
winter,Dewas,test,after-knn,100,100,0.86,0.86,0,True
winter,Dewas,test,after-rf,100,100,0.85,0.85,0,True
winter,Dewas,test,after-svm,100,100,0.82,0.82,0,True
winter,Dhar,test,after-cart,100,100,0.78,0.78,0,True
winter,Dhar,test,after-gtb,100,100,0.88,0.85,3,False
winter,Dhar,test,after-gtb-b19,100,100,0.85,0.85,0,True
winter,Dhar,test,after-gtb-b22,100,100,0.85,0.85,0,True
winter,Dhar,test,after-gtb-b27,100,100,0.87,0.83,4,False
winter,Dhar,test,after-knn,100,100,0.81,0.81,0,True
winter,Dhar,test,after-rf,100,100,0.83,0.83,0,True
winter,Dhar,test,after-svm,100,100,0.85,0.85,0,True
winter,Dindori,training-withheld,after-cart,100,100,0.76,0.76,0,True
winter,Dindori,training-withheld,after-gtb,100,100,0.84,0.85,1,False
winter,Dindori,training-withheld,after-gtb-b19,100,100,0.84,0.84,0,True
winter,Dindori,training-withheld,after-gtb-b22,100,100,0.85,0.85,0,True
winter,Dindori,training-withheld,after-gtb-b27,100,100,0.87,0.87,0,True
winter,Dindori,training-withheld,after-knn,100,100,0.8,0.8,0,True
winter,Dindori,training-withheld,after-rf,100,100,0.83,0.83,0,True
winter,Dindori,training-withheld,after-svm,100,100,0.84,0.84,0,True
winter,East Nimar,test,after-cart,100,100,0.79,0.79,0,True
winter,East Nimar,test,after-gtb,100,100,0.88,0.89,3,False
winter,East Nimar,test,after-gtb-b19,100,100,0.85,0.85,0,True
winter,East Nimar,test,after-gtb-b22,100,100,0.86,0.86,0,True
winter,East Nimar,test,after-gtb-b27,100,100,0.87,0.87,3,False
winter,East Nimar,test,after-knn,100,100,0.83,0.83,0,True
winter,East Nimar,test,after-rf,100,100,0.81,0.81,0,True
winter,East Nimar,test,after-svm,100,100,0.88,0.88,0,True
winter,Guna,test,after-cart,100,100,0.81,0.81,0,True
winter,Guna,test,after-gtb,100,100,0.91,0.9,1,False
winter,Guna,test,after-gtb-b19,100,100,0.9,0.9,0,True
winter,Guna,test,after-gtb-b22,100,100,0.91,0.91,0,True
winter,Guna,test,after-gtb-b27,100,100,0.88,0.86,2,False
winter,Guna,test,after-knn,100,100,0.88,0.88,0,True
winter,Guna,test,after-rf,100,100,0.88,0.88,0,True
winter,Guna,test,after-svm,100,100,0.9,0.9,0,True
winter,Gwalior,test,after-cart,100,100,0.8,0.8,0,True
winter,Gwalior,test,after-gtb,100,100,0.86,0.85,1,False
winter,Gwalior,test,after-gtb-b19,100,100,0.82,0.82,0,True
winter,Gwalior,test,after-gtb-b22,100,100,0.82,0.82,0,True
winter,Gwalior,test,after-gtb-b27,100,100,0.85,0.83,2,False
winter,Gwalior,test,after-knn,100,100,0.82,0.82,0,True
winter,Gwalior,test,after-rf,100,100,0.86,0.86,0,True
winter,Gwalior,test,after-svm,100,100,0.89,0.89,0,True
winter,Harda,development,after-cart,100,100,0.82,0.82,0,True
winter,Harda,development,after-gtb,100,100,0.82,0.83,1,False
winter,Harda,development,after-gtb-b19,100,100,0.85,0.85,0,True
winter,Harda,development,after-gtb-b22,100,100,0.82,0.82,0,True
winter,Harda,development,after-gtb-b27,100,100,0.81,0.81,0,True
winter,Harda,development,after-knn,100,100,0.82,0.82,0,True
winter,Harda,development,after-rf,100,100,0.83,0.83,0,True
winter,Harda,development,after-svm,100,100,0.84,0.84,0,True
winter,Hoshangabad,development,after-cart,100,100,0.9,0.9,0,True
winter,Hoshangabad,development,after-gtb,100,100,0.96,0.96,0,True
winter,Hoshangabad,development,after-gtb-b19,100,100,0.94,0.94,0,True
winter,Hoshangabad,development,after-gtb-b22,100,100,0.96,0.96,0,True
winter,Hoshangabad,development,after-gtb-b27,100,100,0.95,0.96,1,False
winter,Hoshangabad,development,after-knn,100,100,0.93,0.93,0,True
winter,Hoshangabad,development,after-rf,100,100,0.94,0.94,0,True
winter,Hoshangabad,development,after-svm,100,100,0.96,0.96,0,True
winter,Indore,test,after-cart,100,100,0.78,0.78,0,True
winter,Indore,test,after-gtb,100,100,0.94,0.95,1,False
winter,Indore,test,after-gtb-b19,100,100,0.92,0.92,0,True
winter,Indore,test,after-gtb-b22,100,100,0.93,0.93,0,True
winter,Indore,test,after-gtb-b27,100,100,0.92,0.93,1,False
winter,Indore,test,after-knn,100,100,0.89,0.89,0,True
winter,Indore,test,after-rf,100,100,0.9,0.9,0,True
winter,Indore,test,after-svm,100,100,0.89,0.89,0,True
winter,Jabalpur,training-withheld,after-cart,88,88,0.784091,0.784091,0,True
winter,Jabalpur,training-withheld,after-gtb,88,88,0.852273,0.852273,0,True
winter,Jabalpur,training-withheld,after-gtb-b19,88,88,0.863636,0.863636,0,True
winter,Jabalpur,training-withheld,after-gtb-b22,88,88,0.818182,0.818182,0,True
winter,Jabalpur,training-withheld,after-gtb-b27,88,88,0.829545,0.829545,1,False
winter,Jabalpur,training-withheld,after-knn,88,88,0.840909,0.840909,0,True
winter,Jabalpur,training-withheld,after-rf,88,88,0.875,0.875,0,True
winter,Jabalpur,training-withheld,after-svm,88,88,0.829545,0.829545,0,True
winter,Jhabua,development,after-cart,100,100,0.66,0.66,0,True
winter,Jhabua,development,after-gtb,100,100,0.76,0.77,1,False
winter,Jhabua,development,after-gtb-b19,100,100,0.81,0.81,0,True
winter,Jhabua,development,after-gtb-b22,100,100,0.79,0.79,0,True
winter,Jhabua,development,after-gtb-b27,100,100,0.82,0.79,3,False
winter,Jhabua,development,after-knn,100,100,0.72,0.72,0,True
winter,Jhabua,development,after-rf,100,100,0.77,0.77,0,True
winter,Jhabua,development,after-svm,100,100,0.74,0.74,0,True
winter,Katni,training-withheld,after-cart,99,99,0.878788,0.878788,0,True
winter,Katni,training-withheld,after-gtb,99,99,0.919192,0.909091,1,False
winter,Katni,training-withheld,after-gtb-b19,99,99,0.89899,0.89899,0,True
winter,Katni,training-withheld,after-gtb-b22,99,99,0.909091,0.909091,0,True
winter,Katni,training-withheld,after-gtb-b27,99,99,0.919192,0.919192,0,True
winter,Katni,training-withheld,after-knn,99,99,0.878788,0.878788,0,True
winter,Katni,training-withheld,after-rf,99,99,0.929293,0.929293,0,True
winter,Katni,training-withheld,after-svm,99,99,0.919192,0.919192,0,True
winter,Mandla,training-withheld,after-cart,100,100,0.8,0.8,0,True
winter,Mandla,training-withheld,after-gtb,100,100,0.82,0.82,3,False
winter,Mandla,training-withheld,after-gtb-b19,100,100,0.82,0.82,1,False
winter,Mandla,training-withheld,after-gtb-b22,100,100,0.81,0.81,1,False
winter,Mandla,training-withheld,after-gtb-b27,100,100,0.83,0.83,2,False
winter,Mandla,training-withheld,after-knn,100,100,0.79,0.79,0,True
winter,Mandla,training-withheld,after-rf,100,100,0.8,0.8,0,True
winter,Mandla,training-withheld,after-svm,100,100,0.81,0.81,0,True
winter,Mandsaur,development,after-cart,100,100,0.87,0.87,0,True
winter,Mandsaur,development,after-gtb,100,100,0.96,0.94,2,False
winter,Mandsaur,development,after-gtb-b19,100,100,0.95,0.95,0,True
winter,Mandsaur,development,after-gtb-b22,100,100,0.96,0.96,2,False
winter,Mandsaur,development,after-gtb-b27,100,100,0.93,0.93,2,False
winter,Mandsaur,development,after-knn,100,100,0.93,0.93,0,True
winter,Mandsaur,development,after-rf,100,100,0.94,0.94,0,True
winter,Mandsaur,development,after-svm,100,100,0.97,0.97,0,True
winter,Morena,test,after-cart,100,100,0.94,0.94,0,True
winter,Morena,test,after-gtb,100,100,0.97,0.97,0,True
winter,Morena,test,after-gtb-b19,100,100,0.97,0.98,1,False
winter,Morena,test,after-gtb-b22,100,100,0.97,0.97,0,True
winter,Morena,test,after-gtb-b27,100,100,0.97,0.97,0,True
winter,Morena,test,after-knn,100,100,0.98,0.98,0,True
winter,Morena,test,after-rf,100,100,0.99,0.99,0,True
winter,Morena,test,after-svm,100,100,0.98,0.98,0,True
winter,Narsinghpur,test,after-cart,100,100,0.86,0.86,0,True
winter,Narsinghpur,test,after-gtb,100,100,0.95,0.95,0,True
winter,Narsinghpur,test,after-gtb-b19,100,100,0.9,0.91,1,False
winter,Narsinghpur,test,after-gtb-b22,100,100,0.93,0.93,0,True
winter,Narsinghpur,test,after-gtb-b27,100,100,0.94,0.94,0,True
winter,Narsinghpur,test,after-knn,100,100,0.9,0.9,0,True
winter,Narsinghpur,test,after-rf,100,100,0.92,0.92,0,True
winter,Narsinghpur,test,after-svm,100,100,0.93,0.93,0,True
winter,Neemuch,development,after-cart,100,100,0.83,0.83,0,True
winter,Neemuch,development,after-gtb,100,100,0.9,0.88,2,False
winter,Neemuch,development,after-gtb-b19,100,100,0.86,0.86,1,False
winter,Neemuch,development,after-gtb-b22,100,100,0.88,0.89,1,False
winter,Neemuch,development,after-gtb-b27,100,100,0.88,0.89,1,False
winter,Neemuch,development,after-knn,100,100,0.84,0.84,0,True
winter,Neemuch,development,after-rf,100,100,0.86,0.86,0,True
winter,Neemuch,development,after-svm,100,100,0.87,0.87,0,True
winter,Panna,test,after-cart,100,100,0.86,0.86,0,True
winter,Panna,test,after-gtb,100,100,0.92,0.92,2,False
winter,Panna,test,after-gtb-b19,100,100,0.92,0.92,0,True
winter,Panna,test,after-gtb-b22,100,100,0.9,0.9,0,True
winter,Panna,test,after-gtb-b27,100,100,0.91,0.92,1,False
winter,Panna,test,after-knn,100,100,0.87,0.87,0,True
winter,Panna,test,after-rf,100,100,0.92,0.92,0,True
winter,Panna,test,after-svm,100,100,0.94,0.94,0,True
winter,Raisen,test,after-cart,100,100,0.9,0.9,0,True
winter,Raisen,test,after-gtb,100,100,0.99,0.97,2,False
winter,Raisen,test,after-gtb-b19,100,100,0.97,0.96,1,False
winter,Raisen,test,after-gtb-b22,100,100,0.97,0.97,0,True
winter,Raisen,test,after-gtb-b27,100,100,0.96,0.95,1,False
winter,Raisen,test,after-knn,100,100,0.97,0.97,0,True
winter,Raisen,test,after-rf,100,100,0.98,0.98,0,True
winter,Raisen,test,after-svm,100,100,0.97,0.97,0,True
winter,Rajgarh,development,after-cart,100,100,0.86,0.86,0,True
winter,Rajgarh,development,after-gtb,100,100,0.88,0.88,0,True
winter,Rajgarh,development,after-gtb-b19,100,100,0.87,0.87,2,False
winter,Rajgarh,development,after-gtb-b22,100,100,0.88,0.87,1,False
winter,Rajgarh,development,after-gtb-b27,100,100,0.85,0.84,2,False
winter,Rajgarh,development,after-knn,100,100,0.88,0.88,0,True
winter,Rajgarh,development,after-rf,100,100,0.85,0.85,0,True
winter,Rajgarh,development,after-svm,100,100,0.86,0.86,0,True
winter,Ratlam,test,after-cart,100,100,0.72,0.72,0,True
winter,Ratlam,test,after-gtb,100,100,0.88,0.86,2,False
winter,Ratlam,test,after-gtb-b19,100,100,0.83,0.83,0,True
winter,Ratlam,test,after-gtb-b22,100,100,0.83,0.83,0,True
winter,Ratlam,test,after-gtb-b27,100,100,0.83,0.84,1,False
winter,Ratlam,test,after-knn,100,100,0.8,0.8,0,True
winter,Ratlam,test,after-rf,100,100,0.81,0.81,0,True
winter,Ratlam,test,after-svm,100,100,0.84,0.84,0,True
winter,Rewa,development,after-cart,100,100,0.78,0.78,0,True
winter,Rewa,development,after-gtb,100,100,0.9,0.89,1,False
winter,Rewa,development,after-gtb-b19,100,100,0.87,0.88,1,False
winter,Rewa,development,after-gtb-b22,100,100,0.88,0.88,0,True
winter,Rewa,development,after-gtb-b27,100,100,0.9,0.89,1,False
winter,Rewa,development,after-knn,100,100,0.86,0.86,0,True
winter,Rewa,development,after-rf,100,100,0.89,0.89,0,True
winter,Rewa,development,after-svm,100,100,0.9,0.9,0,True
winter,Sagar,test,after-cart,100,100,0.84,0.84,0,True
winter,Sagar,test,after-gtb,100,100,0.92,0.92,0,True
winter,Sagar,test,after-gtb-b19,100,100,0.91,0.91,0,True
winter,Sagar,test,after-gtb-b22,100,100,0.89,0.9,1,False
winter,Sagar,test,after-gtb-b27,100,100,0.89,0.88,1,False
winter,Sagar,test,after-knn,100,100,0.88,0.88,0,True
winter,Sagar,test,after-rf,100,100,0.93,0.93,0,True
winter,Sagar,test,after-svm,100,100,0.9,0.9,0,True
winter,Satna,test,after-cart,100,100,0.69,0.69,0,True
winter,Satna,test,after-gtb,100,100,0.79,0.8,1,False
winter,Satna,test,after-gtb-b19,100,100,0.77,0.75,2,False
winter,Satna,test,after-gtb-b22,100,100,0.78,0.8,3,False
winter,Satna,test,after-gtb-b27,100,100,0.75,0.75,4,False
winter,Satna,test,after-knn,100,100,0.77,0.77,0,True
winter,Satna,test,after-rf,100,100,0.79,0.79,0,True
winter,Satna,test,after-svm,100,100,0.75,0.75,0,True
winter,Sehore,development,after-cart,100,100,0.82,0.82,0,True
winter,Sehore,development,after-gtb,100,100,0.92,0.92,2,False
winter,Sehore,development,after-gtb-b19,100,100,0.88,0.9,2,False
winter,Sehore,development,after-gtb-b22,100,100,0.91,0.9,1,False
winter,Sehore,development,after-gtb-b27,100,100,0.92,0.91,1,False
winter,Sehore,development,after-knn,100,100,0.93,0.93,0,True
winter,Sehore,development,after-rf,100,100,0.86,0.86,0,True
winter,Sehore,development,after-svm,100,100,0.87,0.87,0,True
winter,Seoni,test,after-cart,100,100,0.78,0.78,0,True
winter,Seoni,test,after-gtb,100,100,0.81,0.84,3,False
winter,Seoni,test,after-gtb-b19,100,100,0.81,0.82,1,False
winter,Seoni,test,after-gtb-b22,100,100,0.79,0.81,2,False
winter,Seoni,test,after-gtb-b27,100,100,0.78,0.77,1,False
winter,Seoni,test,after-knn,100,100,0.83,0.83,0,True
winter,Seoni,test,after-rf,100,100,0.8,0.8,0,True
winter,Seoni,test,after-svm,100,100,0.82,0.82,0,True
winter,Shahdol,test,after-cart,100,100,0.74,0.74,0,True
winter,Shahdol,test,after-gtb,100,100,0.8,0.8,0,True
winter,Shahdol,test,after-gtb-b19,100,100,0.81,0.81,0,True
winter,Shahdol,test,after-gtb-b22,100,100,0.77,0.78,2,False
winter,Shahdol,test,after-gtb-b27,100,100,0.79,0.77,3,False
winter,Shahdol,test,after-knn,100,100,0.77,0.77,0,True
winter,Shahdol,test,after-rf,100,100,0.8,0.8,0,True
winter,Shahdol,test,after-svm,100,100,0.8,0.8,0,True
winter,Shajapur,development,after-cart,100,100,0.72,0.72,0,True
winter,Shajapur,development,after-gtb,100,100,0.84,0.84,1,False
winter,Shajapur,development,after-gtb-b19,100,100,0.78,0.79,6,False
winter,Shajapur,development,after-gtb-b22,100,100,0.82,0.82,2,False
winter,Shajapur,development,after-gtb-b27,100,100,0.84,0.84,1,False
winter,Shajapur,development,after-knn,100,100,0.8,0.8,0,True
winter,Shajapur,development,after-rf,100,100,0.83,0.83,0,True
winter,Shajapur,development,after-svm,100,100,0.86,0.86,0,True
winter,Sheopur,development,after-cart,100,100,0.86,0.86,0,True
winter,Sheopur,development,after-gtb,100,100,0.91,0.91,0,True
winter,Sheopur,development,after-gtb-b19,100,100,0.91,0.92,1,False
winter,Sheopur,development,after-gtb-b22,100,100,0.89,0.89,0,True
winter,Sheopur,development,after-gtb-b27,100,100,0.91,0.9,2,False
winter,Sheopur,development,after-knn,100,100,0.89,0.89,0,True
winter,Sheopur,development,after-rf,100,100,0.89,0.89,0,True
winter,Sheopur,development,after-svm,100,100,0.9,0.9,0,True
winter,Shivpuri,development,after-cart,100,100,0.78,0.78,0,True
winter,Shivpuri,development,after-gtb,100,100,0.86,0.85,1,False
winter,Shivpuri,development,after-gtb-b19,100,100,0.84,0.85,1,False
winter,Shivpuri,development,after-gtb-b22,100,100,0.86,0.85,1,False
winter,Shivpuri,development,after-gtb-b27,100,100,0.86,0.89,3,False
winter,Shivpuri,development,after-knn,100,100,0.81,0.81,0,True
winter,Shivpuri,development,after-rf,100,100,0.83,0.83,0,True
winter,Shivpuri,development,after-svm,100,100,0.83,0.83,0,True
winter,Sidhi,test,after-cart,100,100,0.78,0.78,0,True
winter,Sidhi,test,after-gtb,100,100,0.85,0.87,2,False
winter,Sidhi,test,after-gtb-b19,100,100,0.8,0.8,0,True
winter,Sidhi,test,after-gtb-b22,100,100,0.82,0.82,0,True
winter,Sidhi,test,after-gtb-b27,100,100,0.81,0.81,1,False
winter,Sidhi,test,after-knn,100,100,0.83,0.83,0,True
winter,Sidhi,test,after-rf,100,100,0.84,0.84,0,True
winter,Sidhi,test,after-svm,100,100,0.82,0.82,0,True
winter,Tikamgarh,development,after-cart,100,100,0.74,0.74,0,True
winter,Tikamgarh,development,after-gtb,100,100,0.83,0.83,0,True
winter,Tikamgarh,development,after-gtb-b19,100,100,0.8,0.8,0,True
winter,Tikamgarh,development,after-gtb-b22,100,100,0.8,0.79,3,False
winter,Tikamgarh,development,after-gtb-b27,100,100,0.79,0.79,2,False
winter,Tikamgarh,development,after-knn,100,100,0.81,0.81,0,True
winter,Tikamgarh,development,after-rf,100,100,0.86,0.86,0,True
winter,Tikamgarh,development,after-svm,100,100,0.82,0.82,0,True
winter,Ujjain,test,after-cart,100,100,0.77,0.77,0,True
winter,Ujjain,test,after-gtb,100,100,0.83,0.83,0,True
winter,Ujjain,test,after-gtb-b19,100,100,0.82,0.81,2,False
winter,Ujjain,test,after-gtb-b22,100,100,0.83,0.81,2,False
winter,Ujjain,test,after-gtb-b27,100,100,0.82,0.82,0,True
winter,Ujjain,test,after-knn,100,100,0.87,0.87,0,True
winter,Ujjain,test,after-rf,100,100,0.86,0.86,0,True
winter,Ujjain,test,after-svm,100,100,0.85,0.85,0,True
winter,Umaria,test,after-cart,100,100,0.76,0.77,1,False
winter,Umaria,test,after-gtb,100,100,0.79,0.79,2,False
winter,Umaria,test,after-gtb-b19,100,100,0.79,0.8,1,False
winter,Umaria,test,after-gtb-b22,100,100,0.78,0.8,2,False
winter,Umaria,test,after-gtb-b27,100,100,0.78,0.76,4,False
winter,Umaria,test,after-knn,100,100,0.83,0.82,1,False
winter,Umaria,test,after-rf,100,100,0.81,0.82,1,False
winter,Umaria,test,after-svm,100,100,0.79,0.79,1,False
winter,Vidisha,test,after-cart,100,100,0.86,0.86,0,True
winter,Vidisha,test,after-gtb,100,100,0.93,0.93,0,True
winter,Vidisha,test,after-gtb-b19,100,100,0.92,0.94,2,False
winter,Vidisha,test,after-gtb-b22,100,100,0.93,0.93,0,True
winter,Vidisha,test,after-gtb-b27,100,100,0.93,0.93,2,False
winter,Vidisha,test,after-knn,100,100,0.9,0.9,0,True
winter,Vidisha,test,after-rf,100,100,0.9,0.9,0,True
winter,Vidisha,test,after-svm,100,100,0.86,0.86,0,True
winter,West Nimar,development,after-cart,100,100,0.7,0.7,0,True
winter,West Nimar,development,after-gtb,100,100,0.86,0.86,0,True
winter,West Nimar,development,after-gtb-b19,100,100,0.84,0.85,3,False
winter,West Nimar,development,after-gtb-b22,100,100,0.86,0.86,2,False
winter,West Nimar,development,after-gtb-b27,100,100,0.88,0.86,2,False
winter,West Nimar,development,after-knn,100,100,0.83,0.83,0,True
winter,West Nimar,development,after-rf,100,100,0.8,0.8,0,True
winter,West Nimar,development,after-svm,100,100,0.85,0.85,0,True
